x1,y1,z1
-74.45828247,-91.74127197,-85.08099365
-73.30062866,-86.80421448,-88.69004822
-71.60697937,-92.79446411,-87.51475525
-17.23959351,-40.20346069,-88.03747559
-19.01272583,-37.65557861,-86.5562439
-20.29095459,-42.61160278,-85.39614868
-20.36221313,-33.26547241,-87.34965515
-16.20639038,-34.2880249,-88.33769226
-17.43823242,-28.3984375,-88.6837616
-23.8848877,-51.62545776,-83.95251465
-27.12097168,-51.31375122,-82.22819519
-25.49227905,-55.64743042,-82.60864258
-24.19009399,-49.1668396,-83.18432617
-21.30096436,-47.94204712,-84.36720276
-25.34558105,-46.4508667,-83.59907532
-24.71411133,-38.44250488,-85.95133972
-19.66833496,-46.60150146,-84.02145386
-28.62756348,-57.9487915,-79.45817566
2.901763916,-39.45385742,-82.93362427
6.462493896,-43.19894409,-81.27415466
6.55758667,-36.01773071,-82.52656555
-77.25314331,-92.18347168,-79.91055298
-77.93737793,-86.82096863,-81.36180115
-76.59591675,-91.75924683,-82.93925476
-32.85693359,-54.50033569,-80.34550476
-37.53773499,-55.88031006,-79.15287781
-33.01002502,-58.0869751,-78.01596069
2.964538574,-46.23864746,-81.6778717
6.783233643,-48.6222229,-78.75
-31.37481689,-62.28051758,-76.02030945
-37.77589417,-59.52633667,-76.07652283
5.716217041,-53.57400513,-77.6776886
10.58200073,-51.68597412,-76.45915222
-35.02168274,-63.36654663,-73.60183716
-32.83552551,-65.44882202,-73.35037231
-34.43171692,-61.52801514,-74.53721619
-29.41928101,-66.96246338,-73.99134827
-37.59587097,-60.11810303,-74.69299316
-36.85803223,-60.62112427,-74.02557373
-36.48278809,-59.63247681,-74.29312134
-11.5007019,3.987335205,-74.32119751
-15.46304321,10.11080933,-74.16627502
-16.59860229,9.532470703,-76.55599976
-37.18278503,-66.71392822,-71.53497314
-40.52549744,-62.47088623,-72.34205627
-40.19966125,-59.51644897,-74.54748535
-7.671417236,1.691864014,-73.93431091
-8.451141357,0.417633057,-74.20143127
-8.078948975,5.00100708,-74.29519653
-42.65704346,-67.87643433,-69.02069092
13.3397522,-60.48876953,-73.20498657
11.31243896,-65.07785034,-73.09109497
17.61895752,-68.74685669,-71.72796631
19.22113037,-62.09359741,-73.61408997
-80.26751709,-86.44152832,-70.88424683
-78.8238678,-80.64547729,-69.53799438
-79.52354431,-83.20600891,-71.3112793
12.76104736,-69.86755371,-73.14134216
22.48516846,-74.21261597,-68.13760376
26.19390869,-72.01797485,-68.82815552
-37.00015259,-71.49172974,-68.16543579
-14.3855896,10.80667114,-71.51779175
-12.49990845,11.21578979,-65.7338562
-16.58377075,14.24514771,-67.50515747
-43.3561554,-72.93560791,-64.93222046
-78.82072449,-98.32798767,-65.81976318
-83.20506287,-93.85043335,-65.09634399
-81.47027588,-95.01425171,-67.49020386
-82.51792908,-87.83338928,-66.25473022
-83.40231323,-87.81672668,-65.48999023
26.46813965,-78.36483765,-64.08816528
-47.60002136,-68.11117554,-65.38821411
29.5085144,-82.15652466,-59.61935425
34.78097534,-77.64624023,-62.64526367
-47.92895508,-72.48400879,-61.55703735
-49.43444824,-68.11749268,-62.96710205
-48.61383057,-69.19586182,-61.14215088
-49.19482422,-70.65100098,-59.21109009
-49.63687134,-67.46020508,-60.82260132
25.45687866,-84.73631287,-60.10488892
-49.11172485,-68.99871826,-59.1940918
-50.32606506,-70.79040527,-58.17422485
-52.81687927,-67.87652588,-58.16073608
-52.90306091,-73.41398621,-56.74539185
30.89013672,-87.97911072,-54.60647583
33.01779175,-82.61453247,-56.54092407
-56.61221313,-69.92984009,-54.42932129
-58.12670898,-73.52703857,-51.34335327
-56.77842712,-77.00656128,-52.57791138
9.235046387,32.71426392,-40.81954956
6.347259521,31.28833008,-41.98641968
8.296447754,32.6585083,-42.55599976
7.866241455,34.82376099,-40.6350708
6.352203369,33.8102417,-42.5581665
7.681854248,36.42126465,-41.13238525
10.35217285,35.82208252,-39.28625488
9.798339844,38.18927002,-39.79095459
-65.19468689,-87.80337524,-41.21871948
-67.07843018,-81.79051208,-38.668396
-70.4659729,-84.18148804,-34.40283203
-72.50915527,-94.24940491,-38.64120483
-72.96682739,-94.46083069,-36.51055908
-73.71810913,-95.61183167,-37.1008606
-72.25068665,-90.68708801,-35.40795898
-73.37715149,-89.68510437,-31.99237061
-74.49671936,-85.35972595,-28.59802246
-75.19371033,-71.57867432,-32.11898804
-74.74195862,-66.40560913,-31.57846069
-78.24029541,-66.73977661,-28.02780151
-71.29983521,-69.14187622,-34.35925293
-79.93493652,-61.26919556,-27.39004517
-79.83071899,-82.93238831,-24.61236572
-79.17158508,-90.28366089,-24.4503479
-81.48921204,-63.55493164,-24.78881836
-83.37408447,-100.0756226,-25.57788086
-78.10549927,-94.42750549,-27.76519775
-83.65525818,-96.71980286,-24.42980957
-83.5716095,-88.2591095,-22.46646118
-82.08508301,-51.78356934,-19.53851318
-80.64303589,-47.26382446,-20.27960205
-77.92579651,-44.2925415,-16.49908447
-81.08792114,-45.2633667,-15.67169189
45.58969116,-34.1678772,-6.305847168
46.22946167,-28.95965576,-8.193756104
52.55844116,-34.40658569,-8.63861084
58.64498901,-20.04119873,-6.031158447
54.90078735,-23.50976563,-8.544158936
54.41867065,-17.9694519,-6.289123535
-47.14598083,-23.47695923,-5.673492432
-47.82669067,-17.40325928,-7.585357666
-42.75785828,-17.04351807,-4.674224854
-43.3422699,-13.11724854,-5.634674072
-40.2709198,-13.71295166,-3.852325439
-40.59558105,-13.2109375,-3.817993164
-44.23002625,-21.76547241,-3.269348145
-43.17695618,-15.72720337,-3.060638428
-46.87341309,-20.8175354,-1.779510498
-40.47665405,-14.74176025,-3.595214844
-55.77157593,-29.48977661,-3.272796631
-49.8263092,-28.26425171,-3.807250977
-49.68945313,-27.76367188,-1.723876953
